,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,goals,inter,keyp,league,longb,name,off,offsides,owng,position,ps_x,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
420,26.0,0.0,0.8,2.8,0.2,0.4,70.1,0.9,0.1,1.0,1.6,7.0,0.1,0.8,Bundesliga,0.0,Artur Sobiech,0.5,0.0,0.0,FW,70.1,0.0,1.2,0.5,185.0,Hannover 96,0.1,1.2,81.0,3.0
429,32.0,0.0,0.9,4.7,0.0,1.0,56.6,0.6,0.1,0.9,0.7,1.0,0.0,0.9,Bundesliga,0.3,Hugo Almeida,1.4,0.0,0.0,FW,56.6,0.0,2.0,0.1,191.0,Hannover 96,0.4,1.4,93.0,1.0
432,28.0,2.0,1.0,1.7,0.0,0.1,70.2,2.0,0.3,0.8,1.4,0.0,0.5,1.0,Bundesliga,0.0,Ádám Szalai,0.3,0.0,0.0,FW,70.2,0.0,1.3,0.4,193.0,Hannover 96,0.3,1.3,91.0,2.0
433,29.0,1.0,0.4,1.3,0.0,0.8,81.0,0.4,0.0,0.6,0.5,0.0,0.1,0.4,Bundesliga,0.0,Mevlüt Erdinc,0.7,0.0,0.0,FW,81.0,0.0,0.6,0.2,181.0,Hannover 96,0.1,0.7,84.0,0.0
435,26.0,0.0,0.1,1.1,0.0,0.1,72.4,0.3,0.2,0.1,0.8,1.0,0.4,0.1,Bundesliga,0.1,Charlison Benschop,0.3,0.0,0.0,FW,72.4,0.0,0.8,0.1,191.0,Hannover 96,0.2,1.0,91.0,0.0
460,30.0,4.0,0.4,1.8,0.0,0.3,67.3,0.9,0.1,0.6,0.7,9.0,0.2,0.4,Bundesliga,0.0,Adrián Ramos,0.4,0.0,0.0,FW,67.3,0.0,1.4,0.5,185.0,Borussia Dortmund,0.2,1.1,75.0,0.0
467,27.0,2.0,0.7,1.7,0.0,0.5,79.2,1.5,0.2,1.5,1.1,30.0,0.2,0.7,Bundesliga,0.0,Robert Lewandowski,1.2,0.0,0.0,FW,79.2,0.0,4.8,0.4,185.0,Bayern Munich,0.4,2.7,79.0,2.0
502,29.0,1.0,0.9,2.8,0.0,0.7,71.9,1.5,1.2,1.0,1.4,6.0,0.7,0.9,Ligue1,0.2,Khalid Boutaib,0.7,0.0,0.0,FW,71.9,0.0,1.8,1.2,190.0,GFC Ajaccio,0.3,2.3,80.0,3.0
505,36.0,0.0,0.7,2.2,0.1,0.6,71.9,1.3,0.4,0.5,1.5,5.0,0.3,0.7,Ligue1,0.1,Grégory Pujol,0.5,0.0,0.0,FW,71.9,0.0,1.4,0.5,183.0,GFC Ajaccio,0.6,1.8,70.0,2.0
511,27.0,0.0,0.3,1.4,0.0,0.0,70.3,0.9,0.1,1.0,1.1,3.0,0.5,0.3,Ligue1,0.0,John Tshibumbu,0.3,0.0,0.0,FW,70.3,0.0,1.4,0.5,176.0,GFC Ajaccio,0.2,1.1,70.0,6.0
